Symbol,Fair Value
AAPL,126.85895525964774
ADBE,368.38801052962515
BA,-718.1073388551134
BYND,
CAT,
DIS,
DOCU,264.655833795478
ENPH,
ETSY,830.6424783132466
FB,
GS,-1862.2567821312332
HD,
JPM,
LMT,
MCD,
MSFT,219.54918587008407
NKE,
NVAX,-11.38509737707348
NVDA,342.6664112753708
PYPL,177.5928111828911
QCOM,171.8581234763385
SPOT,
SPY,
SQ,94.47461210107716
TGT,
TQQQ,
UNP,161.3525936269155
V,154.12812270067326
XOM,
ZM,
